merchant_id,day,txn_count,txn_volume,avg_txn_value,refund_rate,dispute_rate,category_entropy,geo_entropy,dominant_category,dominant_geo,true_drift,true_drift_any,drift_kind,archetype,n_deviant_signals,deviant_features,deviant_signal_groups,predicted_drift_ms,z_txn_count,baseline_mean_txn_count,baseline_std_txn_count,baseline_days_txn_count,z_txn_volume,baseline_mean_txn_volume,baseline_std_txn_volume,baseline_days_txn_volume,z_refund_rate,baseline_mean_refund_rate,baseline_std_refund_rate,baseline_days_refund_rate,z_dispute_rate,baseline_mean_dispute_rate,baseline_std_dispute_rate,baseline_days_dispute_rate,z_category_entropy,baseline_mean_category_entropy,baseline_std_category_entropy,baseline_days_category_entropy,z_geo_entropy,baseline_mean_geo_entropy,baseline_std_geo_entropy,baseline_days_geo_entropy,predicted_drift_static
M0001,25,97,54521.99,562.08,0.0642413961839825,0.0077439785996797,1.1049,1.3025,apparel,jaipur,0,0,none,normal,0,[],[],0,-0.10019588657362351,97.8,7.98435971133566,25.0,0.02681014186532839,54384.935600000004,5112.035612808007,25.0,-0.8929985544505743,0.0702048850840443,0.006678049891951823,25.0,0.5143573197554553,0.007123451896130656,0.001206411729192589,25.0,-1.4149795275138644,1.2726359999999999,0.11854305785944055,25.0,-0.5177151732451704,1.386112,0.16150193063861495,25.0,0
M0001,26,106,56638.41,534.32,0.0707016005475319,0.0059974003120297,1.4728,1.5724,apparel,jaipur,0,0,none,normal,0,[],[],0,1.051907114894202,97.76923076923077,7.824615989594342,26.0,0.4488485199792565,54390.20692307693,5008.823638377993,26.0,0.10923714430599693,0.06997552012634961,0.00664682719229989,26.0,-0.9677120839863594,0.007147318307805619,0.0011882852501324437,26.0,1.7115744961205905,1.2661846153846155,0.12071655956763414,26.0,1.1912017523582148,1.382896153846154,0.15908627214381316,26.0,0
M0001,27,101,56085.46,555.3,0.07982428930734,0.005546091114314,1.208,1.211,apparel,jaipur,0,0,none,normal,0,[],[],0,0.37346827452412434,98.07407407407408,7.834469821175995,27.0,0.32693670997105795,54473.473703703705,4930.576001816973,27.0,1.5065966653703926,0.07000241199380082,0.006519248010630962,27.0,-1.3141541140938184,0.007104728752406511,0.0011860387007708586,27.0,-0.5272345105116303,1.273837037037037,0.12487239686406082,27.0,-1.116798423627126,1.3899148148148148,0.1602033196230141,27.0,0
M0001,28,100,58491.93,584.92,0.0720320933171448,0.0077887862452173,1.4361,1.5867,apparel,jaipur,0,0,none,normal,0,[],[],0,0.23630741015254028,98.17857142857143,7.707877506900049,28.0,0.8170162628640028,54531.044642857145,4847.9883904124545,28.0,0.2520409789401053,0.07035319332642721,0.006661218337501223,28.0,0.6161470138189256,0.007049063122474636,0.0012005627003818535,28.0,1.3365002714247645,1.271485714285714,0.12316816482109666,28.0,1.2634983455379847,1.3835250000000001,0.16080353466034025,28.0,0
M0001,29,95,54130.32,569.79,0.0615968224509198,0.0093415139507637,1.3999,1.6307,apparel,jaipur,0,0,none,normal,0,[],[],0,-0.4278179490898562,98.24137931034483,7.576538846115656,29.0,-0.11154124998996952,54667.62689655172,4817.113817534241,29.0,-1.3459743938344506,0.0704110864295554,0.006548611934232475,29.0,1.909962322288598,0.007074570816362314,0.0011869046357338808,29.0,0.9838571715250454,1.2771620689655172,0.12475177758193357,29.0,1.4793224132143945,1.3905310344827586,0.1623506568763346,29.0,0
M0001,30,87,48810.09,561.04,0.0719852896678829,0.0090372972978566,1.1112,1.5156,apparel,jaipur,0,0,none,normal,0,[],[],0,-1.4907559155647074,98.13333333333334,7.468246959205233,30.0,-1.2334595394952992,54649.71666666667,4734.347969821612,30.0,0.28162859016929076,0.07011727763026755,0.006632892052942694,30.0,1.5249492508375233,0.007150135587509027,0.001237524271257629,30.0,-1.3646470501872183,1.2812533333333331,0.12461341803362506,30.0,0.7075728637122202,1.3985366666666665,0.1654435031880262,30.0,0
M0001,31,103,56861.94,552.06,0.0757365580645134,0.0043655136096476,1.4027,1.3169,apparel,jaipur,0,0,none,normal,0,[],[],0,0.6866914190460179,97.7741935483871,7.610123421773375,31.0,0.5031147258918006,54461.34161290323,4771.473112502467,31.0,0.8513009387407553,0.07017753608309386,0.006530031541657228,31.0,-2.252874703564495,0.007211011771713787,0.001263052116286824,31.0,1.0052568402016198,1.2757677419354838,0.12626848481733088,31.0,-0.5207597903411543,1.4023129032258064,0.1640159336607991,31.0,0
M0001,32,99,60508.32,611.2,0.0656985047561089,0.0068981955090921,1.2495,1.1493,apparel,jaipur,0,0,none,normal,0,[],[],0,0.14085617253856955,97.9375,7.543155410594902,32.0,1.2671175338243676,54536.3603125,4713.027424911128,32.0,-0.7159646112876539,0.07035125552001321,0.00649857645273332,32.0,-0.16702652597764653,0.007122089954149219,0.0013404723815370657,32.0,-0.239526430716937,1.279734375,0.12622563159106998,32.0,-1.544819021651796,1.39964375,0.16205377231329032,32.0,0
M0001,33,103,59115.34,573.94,0.0663079316916244,0.0086532107315147,1.1947,1.3536,apparel,jaipur,0,0,none,normal,0,[],[],0,0.6773303104418102,97.96969696969697,7.426661634294582,33.0,0.9251445901031519,54717.32878787879,4753.863622151039,33.0,-0.6052653502933737,0.07021026307262217,0.006447306754147251,33.0,1.1651356663290366,0.007115305273995972,0.0013199368124779552,33.0,-0.6764677728247729,1.2788181818181819,0.12434913413084513,33.0,-0.2325859029727871,1.3920575757575757,0.1653478360727451,33.0,0
M0001,34,113,70416.66,623.16,0.0583382704607583,0.0078418835139862,1.3179,1.3603,apparel,jaipur,0,0,none,normal,1,['txn_volume'],['volume'],0,2.0209666620111997,98.11764705882354,7.363977457384693,34.0,3.2836589992426273,54846.68205882353,4741.654947961307,34.0,-1.84165669806259,0.07009548862023988,0.006384044416014179,34.0,0.5137294022584157,0.007160537787452406,0.0013262735664700462,34.0,0.33703772532215814,1.2763441176470587,0.12329742112168636,34.0,-0.18794224766763926,1.3909264705882354,0.16295681768367354,34.0,0
M0001,35,99,53852.64,543.97,0.0759585064878977,0.0084577177336164,1.252,1.3064,apparel,jaipur,0,0,none,normal,0,[],[],0,0.059534436736094765,98.54285714285714,7.678629079322375,35.0,-0.26836332077416036,55291.53857142857,5361.755724581567,35.0,0.9398070797137519,0.06975956810139755,0.006595969024183385,35.0,0.9740969036053369,0.007180004808210514,0.0013116897514783205,35.0,-0.20983537378711906,1.2775314285714285,0.12167361541877364,35.0,-0.5207840149855489,1.3900514285714287,0.1606259527258146,35.0,0
M0001,36,93,50966.03,548.02,0.0806626234168429,0.0066535515750767,1.2807,1.3002,apparel,jaipur,0,0,none,normal,0,[],[],0,-0.7340343142805005,98.55555555555556,7.5685229525013495,36.0,-0.8101142712095882,55251.56916666667,5290.042798860827,36.0,1.6301757792555096,0.06993176083435589,0.006582641405326071,36.0,-0.4288883001704502,0.007215496833916234,0.0013102368579795795,36.0,0.032315273828896623,1.2768222222222223,0.11999829549053988,36.0,-0.5507407240965533,1.3877277777777777,0.1589273753477375,36.0,0
M0001,37,84,46365.48,551.97,0.0587745510134619,0.0069963282527909,1.4948,1.3719,apparel,jaipur,0,0,none,normal,0,[],[],0,-1.9160338642601387,98.4054054054054,7.518345930158148,37.0,-1.666267492386878,55135.743783783786,5263.41888313541,37.0,-1.701925523297837,0.07022178414739608,0.006726048218463031,37.0,-0.15748866381356477,0.007200309124217868,0.0012952098677301686,37.0,1.8413621292618827,1.276927027027027,0.1183216323995477,37.0,-0.08554803531575955,1.3853621621621621,0.15736377945411734,37.0,0
M0001,38,101,57564.44,569.94,0.0682051334642252,0.0081032336758404,1.4064,1.5559,apparel,jaipur,0,0,none,normal,0,[],[],0,0.38244172760020445,98.02631578947368,7.775522376143364,38.0,0.4940344744109777,54904.94736842105,5383.212648772702,38.0,-0.24898813728143954,0.06992054117018728,0.006889515800598566,38.0,0.7107053095193735,0.007194941206548737,0.0012780155953891939,38.0,1.0147078744956073,1.2826605263157895,0.12194590856577239,38.0,1.1008391236947799,1.385007894736842,0.15523803758862387,38.0,0
M0001,39,94,52060.87,553.84,0.0716683436660582,0.0050585652037342,1.5078,1.5422,apparel,jaipur,0,0,none,normal,0,[],[],0,-0.5336812758690992,98.1025641025641,7.68729256218158,39.0,-0.5464994709925594,54973.139487179484,5328.952069962996,39.0,0.26335069613147305,0.0698765563572139,0.006803806996393065,39.0,-1.701265006919073,0.007218230757043394,0.0012694468789552474,39.0,1.8201285524868707,1.2858333333333334,0.12195109315954088,39.0,0.9820278306776349,1.3893897435897435,0.15560684904908637,39.0,0
M0001,40,98,54973.01,560.95,0.0745486958871422,0.0080901262478004,1.2255,1.4991,apparel,jaipur,0,0,none,normal,0,[],[],0,0.0,98.0,7.61577310586391,40.0,0.013763836800779238,54900.33275,5280.304543852629,40.0,0.6883896352057592,0.069921351039935,0.006721985065658474,40.0,0.7129005857943953,0.0071642391182106645,0.0012987605116890257,40.0,-0.5254238297030396,1.2913824999999999,0.12538925011687324,40.0,0.6810187489098979,1.39321,0.1554876428431632,40.0,0
M0001,41,104,59983.5,576.76,0.0755643236405267,0.0061307571345771,1.4421,1.4787,apparel,jaipur,0,0,none,normal,0,[],[],0,0.797875162250216,98.0,7.519973404208291,41.0,0.9745870051875986,54902.105365853655,5213.895329097094,41.0,0.8282757470129408,0.07003421310937909,0.006676653941747271,41.0,-0.8183060709697029,0.007186821731127488,0.0012905496293079413,41.0,1.226061783394763,1.2897756097560975,0.12423875558876105,41.0,0.5368956093547311,1.3957926829268292,0.15441980829907134,41.0,0
M0001,42,89,52128.11,585.71,0.0651706038567866,0.0052886286691308,1.3015,1.5967,apparel,jaipur,0,0,none,normal,0,[],[],0,-1.2214617176930356,98.14285714285714,7.485176989521355,42.0,-0.555736967454606,55023.090952380946,5209.264673610929,42.0,-0.751202896091623,0.07016588240773974,0.006649706193816223,42.0,-1.4575260987997791,0.007161677335971527,0.0012850875661047272,42.0,0.06480948698886735,1.293402380952381,0.12494496444648845,42.0,1.2997033409276215,1.3977666666666668,0.15306056933834677,42.0,0
M0001,43,99,53806.11,543.5,0.0663872008560788,0.0089692242435659,1.5138,1.4236,apparel,jaipur,0,0,none,normal,0,[],[],0,0.14214641319788127,97.93023255813954,7.525813826700262,43.0,-0.22255241004029594,54955.76581395349,5165.77561997792,43.0,-0.5537447025344412,0.07004971313911293,0.006614080940677412,43.0,1.422363900789077,0.007118118064649649,0.0013014293865932077,43.0,1.783724972880293,1.2935906976744187,0.12345473975732676,43.0,0.1374930817534761,1.402393023255814,0.15424031866715998,43.0,0
M0001,44,117,68570.95,586.08,0.0733597067585721,0.0069228067921353,1.3421,1.1756,apparel,jaipur,0,0,none,normal,1,"['txn_count', 'txn_volume']",['volume'],0,2.5600319528385023,97.95454545454545,7.439537824649963,44.0,2.670423229069282,54929.637272727276,5108.2961602409005,44.0,0.517261178249488,0.06996647422358943,0.0065599984643464546,44.0,-0.18036309302941778,0.007160188659625018,0.0013161332704080453,44.0,0.3440548964602083,1.2985954545454546,0.12644652322097394,44.0,-1.4906230713192772,1.402875,0.15246979895383625,44.0,0
M0001,45,94,48084.56,511.54,0.0788336512823596,0.0070797434487329,1.3602,1.3298,apparel,jaipur,0,0,none,normal,0,[],[],0,-0.5553092535397243,98.37777777777778,7.883495097321683,45.0,-1.3130512212666816,55232.77755555556,5443.974644538073,45.0,1.3515983601298835,0.07004187939103348,0.00650472222419777,45.0,-0.05775326759501316,0.007154913507014135,0.0013015723856242183,45.0,0.48444534190692634,1.2995622222222223,0.12516949288662532,45.0,-0.44032167553768226,1.3978244444444443,0.15448806684653607,45.0,0
M0001,46,96,54001.86,562.52,0.0621649529777955,0.0073646955302877,1.4069,1.609,apparel,jaipur,0,0,none,normal,0,[],[],0,-0.2918158651459525,98.28260869565217,7.8220856652551065,46.0,-0.19607162108830475,55077.381521739124,5485.350280521936,46.0,-1.229630404434028,0.07023300486693188,0.006561363365807406,46.0,0.1642606965892581,0.00715327937531237,0.0012870769415034603,46.0,0.8543530002094641,1.3008804347826086,0.12409339604519244,46.0,1.3890734601393349,1.396345652173913,0.15309078600116371,46.0,0
M0001,47,90,47907.89,532.31,0.0714834116958204,0.0070445563986108,1.377,1.6076,apparel,jaipur,0,0,none,normal,0,[],[],0,-1.0633136546101645,98.23404255319149,7.743756997280617,47.0,-1.3166998036503144,55054.49808510639,5427.6670090583275,47.0,0.21561194472530154,0.07006134418843962,0.006595495018573983,47.0,-0.08891365904759023,0.007157777591375674,0.001273383572081687,47.0,0.597084240493197,1.303136170212766,0.12370755209720803,47.0,1.3375187644458149,1.4008702127659576,0.15456215847536045,47.0,0
M0001,48,100,53514.9,535.15,0.0709424512533141,0.0068366505474864,1.3404,1.3659,apparel,jaipur,0,0,none,normal,0,[],[],0,0.2499170161187153,98.0625,7.752573354507605,48.0,-0.2543456240091974,54905.61041666666,5467.797694904992,48.0,0.1304315420081814,0.07009097059484339,0.0065281805716695465,48.0,-0.25301677499015784,0.007155418816526407,0.0012598700977530315,48.0,0.29080668336891435,1.304675,0.12284793315661058,48.0,-0.25211032230738273,1.4051770833333332,0.15579323755512559,48.0,0
M0001,49,97,48040.19,495.26,0.0755533534904198,0.0081924691552731,1.2159,1.5209,apparel,jaipur,0,0,none,normal,0,[],[],0,-0.1435624926566951,98.10204081632654,7.6763839630583455,49.0,-1.262800349617485,54877.228571428575,5414.188057122078,49.0,0.8427541325411274,0.0701083477511387,0.00646096593185841,49.0,0.8365117812306802,0.0071489133416480395,0.0012475088062594611,49.0,-0.7356381906516615,1.305404081632653,0.12166861749437771,49.0,0.7553579863895865,1.4043755102040818,0.15426392769456862,49.0,0
M0001,50,89,47265.72,531.08,0.0680429867048467,0.00685339327537,1.264,1.294,apparel,jaipur,0,0,none,normal,0,[],[],0,-1.1948550568032323,98.08,7.599248083104765,50.0,-1.3727283975674414,54740.4878,5445.190624194667,50.0,-0.33757130267384333,0.07021724786592431,0.0064408945424438546,50.0,-0.25443557180266746,0.00716978445792054,0.001243502157771883,50.0,-0.32716097650395043,1.303614,0.1210841232451258,50.0,-0.7339139360279527,1.406706,0.15356841513322525,50.0,0
M0001,51,110,57589.49,523.54,0.0695122938639962,0.0053589306499128,1.29,1.3959,apparel,jaipur,0,0,none,normal,0,[],[],0,1.585679665264976,97.90196078431373,7.629560674012062,51.0,0.5455270921315862,54593.9237254902,5491.141169185495,51.0,-0.1037564368367845,0.07017461529413849,0.006383424974241976,51.0,-1.4650496308552656,0.0071635807092430785,0.0012318013132952778,51.0,-0.10698118217391128,1.3028372549019607,0.11999544818164447,51.0,-0.05624161386176946,1.4044960784313725,0.15284195884741114,51.0,0
M0001,52,96,51838.79,539.99,0.0767871909157604,0.0066999076869203,1.4469,1.3369,apparel,jaipur,0,0,none,normal,0,[],[],0,-0.2758456278642021,98.13461538461539,7.738441972574062,52.0,-0.5158260442091388,54651.53076923077,5452.88629918492,52.0,1.0481099656157455,0.07016187834355883,0.006321199864089949,52.0,-0.34453190488027813,0.007128875900409804,0.0012450754412383568,52.0,1.214456152492995,1.3025903846153848,0.1188265340731992,52.0,-0.44555583154554157,1.4043307692307692,0.15134078482794336,52.0,0
M0001,53,96,47355.3,493.28,0.0686434538274421,0.0095809342761344,1.2745,1.2572,apparel,jaipur,0,0,none,normal,0,[],[],0,-0.27308165689164443,98.09433962264151,7.6692797549288425,53.0,-1.3378565359870405,54598.460188679244,5414.0036647019115,53.0,-0.2597928078942644,0.07028688424114754,0.0063259272919299675,53.0,1.9929094674434067,0.007120782160532644,0.001234452520694655,53.0,-0.25820492007598783,1.3053132075471698,0.11933625253191059,53.0,-0.9713250483759451,1.4030584905660377,0.1501644488731274,53.0,0
M0001,54,95,51196.64,538.91,0.0759055279070587,0.005687570598683,1.4452,1.2973,apparel,jaipur,0,0,none,normal,0,[],[],0,-0.40194482054058045,98.05555555555556,7.601927924947766,54.0,-0.599299008861299,54464.32759259259,5452.516263628365,54.0,0.9009758669342344,0.07025645034459743,0.00626995435702788,54.0,-1.16644827156922,0.007166340533043787,0.0012677544048922131,54.0,1.1875049692385673,1.3047425925925926,0.11827942707260353,54.0,-0.6867765887515702,1.4003574074074072,0.1500595813767417,54.0,0
M0001,55,96,54589.23,568.64,0.0657832820719728,0.0090019428502152,1.2584,1.4868,apparel,jaipur,0,0,none,normal,0,[],[],0,-0.2651650429449553,98.0,7.542472332656508,55.0,0.03400810742606226,54404.91509090909,5419.73438220979,55.0,-0.7311862047526764,0.0703591608457331,0.006258157968541116,55.0,1.4645769412719793,0.0071394538069645,0.001271690814436239,55.0,-0.4119329629917632,1.3072963636363637,0.11869980804945063,55.0,0.5914898750727692,1.3984836363636364,0.14931170821055598,55.0,0
M0001,56,107,58201.9,543.94,0.0730085853745778,0.0068486579698568,1.2701,1.424,apparel,jaipur,0,0,none,normal,0,[],[],0,1.2082469611023274,97.96428571428571,7.478367069486095,56.0,0.7064218817185937,54408.20642857143,5370.294535892939,56.0,0.43830868170008924,0.07027744872477308,0.006231080432199805,56.0,-0.25229617511988744,0.007172712539879692,0.0012844212555695922,56.0,-0.30835399388291485,1.3064232142857144,0.11779712605086828,56.0,0.16129630374698417,1.4000607142857144,0.14841806760703963,56.0,0
M0001,57,97,50607.81,521.73,0.0668131672442338,0.0071354914757995,1.2426,1.0903,apparel,jaipur,0,0,none,normal,0,[],[],0,-0.14956190147513618,98.12280701754386,7.507306382638652,57.0,-0.7233630060719206,54474.76245614035,5345.797923976056,57.0,-0.567785326026512,0.07032536340283983,0.006185781839740657,57.0,-0.024760738833904075,0.007167027371984553,0.0012736250075814125,57.0,-0.5407917997655378,1.3057859649122807,0.11683972452924635,57.0,-2.108335779786323,1.4004807017543859,0.14712111074917214,57.0,0
M0001,58,97,54160.51,558.36,0.0734680301709526,0.0075825884820242,1.3432,1.3327,apparel,jaipur,0,0,none,normal,0,[],[],0,-0.14826069405433168,98.10344827586206,7.442621814907287,58.0,-0.046511788968475,54408.090862068966,5322.970101983621,58.0,0.520967679642924,0.07026480829665699,0.006148599998547187,58.0,0.3296114271168488,0.007166483649636534,0.0012624102144376053,58.0,0.3316201283572149,1.3046965517241378,0.11610709056353473,58.0,-0.4123537793054756,1.3951327586206896,0.15140581159664565,58.0,0
M0001,59,96,56639.57,590.0,0.0709284987705454,0.00694524068674,1.2086,1.161,apparel,jaipur,0,0,none,normal,0,[],[],0,-0.2825019255703321,98.08474576271186,7.3795807179120985,59.0,0.42366559101567813,54403.89457627119,5276.981353074006,59.0,0.09974421280343315,0.07031910019283148,0.006109613385940124,59.0,-0.1822498135490389,0.007173536273914292,0.0012526519656101763,59.0,-0.8397568165224136,1.305349152542373,0.1152109165877677,59.0,-1.5505760436381397,1.3940745762711864,0.1503148312057756,59.0,0
M0001,60,100,56731.01,567.31,0.0718275941598685,0.0054283847200835,1.3842,1.3393,apparel,jaipur,0,0,none,normal,0,[],[],0,0.2663307544369737,98.05,7.321722961068938,60.0,0.4369929918109199,54441.15583333334,5240.024919341152,60.0,0.24732684299979246,0.07032925683579337,0.006058126590312672,60.0,-1.401666089905605,0.007169731347461387,0.0012423405545147759,60.0,0.7002217850172501,1.3037366666666665,0.11491121106914907,60.0,-0.3347085804398091,1.39019,0.1520427111044788,60.0,0
M0001,61,106,57812.45,545.4,0.0685680789913452,0.0067741474809847,1.3846,1.3846,apparel,jaipur,0,0,none,normal,0,[],[],0,1.074396325829729,98.15,7.306428560184844,60.0,0.6227397901887738,54590.03083333334,5174.583698417334,60.0,-0.3216652744032082,0.07048792854868631,0.005968470052923926,60.0,-0.2946843836473415,0.007146023499729797,0.001261946812865839,60.0,0.6949737541373564,1.3044766666666667,0.11528972548436346,60.0,-0.025630208086712274,1.3884966666666665,0.15203414086546668,60.0,0
